Date,Close,High,Low,Open,Volume
2020-01-02,119.7928695678711,119.8200200652943,118.69774886839896,119.03262801998348,332800
2020-01-03,120.36304473876953,120.41734572779843,118.5710292407108,118.5710292407108,280300
2020-01-06,120.47167205810547,120.47167205810547,119.3856106190214,119.72952155855208,234700
2020-01-07,119.65714263916016,120.53503192672314,119.62997832591572,120.37212890738836,254700
2020-01-08,120.10965728759766,121.13235836222442,119.84718403630664,119.84718403630664,265100
2020-01-09,121.85637664794922,121.93782813113884,120.24538286700624,120.42639076632234,281600
2020-01-10,119.86528778076172,122.08266609433403,119.77477690673001,121.73874134503808,324000
2020-01-13,119.8924560546875,120.35402843662693,119.10506381196068,120.13682440278367,326500
2020-01-14,117.65694427490234,119.64805903139685,117.394484860236,119.60280359851807,496300
2020-01-15,118.317626953125,119.15933379518188,117.593581472113,117.593581472113,484200
2020-01-16,119.07789611816406,119.7295219356505,118.53485849190146,118.96023474346904,466500
2020-01-17,121.06900787353516,121.09615837313066,118.95117223494499,119.27699204011115,458000
2020-01-21,119.04167938232422,120.887996157171,118.95116851315773,120.652673421346,376200
2020-01-22,118.82445526123047,119.68426704251365,118.52579979091196,119.48515418895533,260600
2020-01-23,117.95562744140625,118.13663538420407,116.31748277255176,118.13663538420407,410100
2020-01-24,116.91478729248047,118.03705843890052,116.10929034844253,117.96465251235551,338000
2020-01-27,115.84683990478516,116.1636141316576,114.83317756981478,115.43956862024879,433900
2020-01-28,117.19537353515625,117.675050747898,116.30841123120189,116.36272603737777,296300
2020-01-29,117.81079864501953,118.59819067862854,117.43067787672489,117.9013095084311,278500
2020-01-30,119.0235595703125,119.10502486638829,116.66136980451046,116.87858757734924,282700
2020-01-31,118.16378021240234,120.19110498046558,117.70220790892364,118.51675051742022,383500
2020-02-03,120.14585876464844,120.79749842546178,118.78827843962415,119.12314383392335,487700
2020-02-04,121.5667953491211,122.26367661581266,120.96945671193913,121.18666071817204,319900
2020-02-05,123.83847045898438,123.87466652210678,122.37228822717218,122.37228822717218,335900
2020-02-06,123.3497085571289,124.74349837699332,123.2501521414243,124.29097172561194,276500
2020-02-07,123.4130859375,123.86561265129106,122.55328794330084,122.85195723160527,234200
2020-02-10,124.09186553955078,124.11901603528624,122.79763206608239,122.99674490815445,318000
2020-02-11,126.35450744628906,126.73462822226085,124.40864813381036,124.40864813381036,507700
2020-02-12,123.71175384521484,126.33640323190491,119.96483324924021,123.99231819503119,748500
2020-02-13,127.01518249511719,127.44961804178298,123.71174332620183,123.71174332620183,384700
2020-02-14,128.9882354736328,129.0244315391283,126.97901549311433,127.10572243738031,298200
2020-02-18,128.3365936279297,129.06968477940814,127.79355598460145,128.4633005700368,361800
2020-02-19,127.32292175292969,128.67145646073837,127.16001874917838,128.61715545948795,372400
2020-02-20,128.1284637451172,128.81629961131594,127.15100405524063,127.19624569391928,499000
2020-02-21,127.36477661132812,128.71023925952,126.71022421561317,127.81022624747442,431100
2020-02-24,124.7647705078125,126.47386745192502,124.0374884241413,124.7829425028841,508000
2020-02-25,121.69198608398438,125.32838188643812,121.53744092698999,124.56474209714263,639500
